Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,Log Loss
Logistic Regression,0.8397703549060542,0.5,0.029315960912052116,0.055384615384615386,0.6755020112842459,0.41229194406466285
Random Forest,0.8387265135699373,0.25,0.003257328990228013,0.006430868167202572,0.6712891451384011,0.4128853304415373
Naive Bayes,0.7969728601252609,0.3101851851851852,0.2182410423452769,0.25621414913957935,0.6624969886408497,0.7337799220372745
XGBoost,0.8272442588726514,0.25,0.03908794788273615,0.0676056338028169,0.6524294329737248,0.4384220242500305
K Nearest Neighbors,0.8262004175365344,0.2833333333333333,0.05537459283387622,0.09264305177111716,0.5916566625435509,2.3254415069914858
Support Vector Machine,0.837160751565762,0.4074074074074074,0.035830618892508145,0.0658682634730539,0.5914248638055888,0.4317762538250158
Decision Tree,0.8016701461377871,0.27044025157232704,0.14006514657980457,0.18454935622317598,0.582782516099384,2.256611617385904
